dataset,method,split,mse,mae,r2
liu_wu1,PCA,test,0.04237360112597906,0.10799276151848972,0.9558871023149934
liu_wu1,MFA,test,0.04237360112597906,0.10799276151848972,0.9558871023149934
liu_wu1,AE,test,0.07035417856107083,0.1284818446990023,0.9267580144687197
liu_wu1,NMF,test,0.14307215057577052,0.2243492235507327,0.851055209559393
liu_wu1,PCA,train,0.05748949747393216,0.1345597801116564,0.9425028596787568
liu_wu1,MFA,train,0.05748949747393216,0.1345597801116564,0.9425028596787568
liu_wu1,AE,train,0.07708545535897358,0.14756083561240624,0.9229042966411116
liu_wu1,NMF,train,0.15041025614771295,0.23558011824918285,0.8495697478065349
liu_wu1,PCA,val,0.008501974873729612,0.06137090977043344,0.9786783524837183
liu_wu1,MFA,val,0.008501974873729612,0.06137090977043344,0.9786783524837183
liu_wu1,AE,val,0.010019709781024216,0.0641009537921057,0.9748721063824174
liu_wu1,NMF,val,0.07170744071435592,0.1696106270650645,0.8201687492713721
liu_wu_full,AE,test,0.022883095800977107,0.08813100291601449,0.9671831419973582
liu_wu_full,PCA,test,0.023557657914820188,0.0950471257531138,0.9662157462701155
liu_wu_full,MFA,test,0.023557657914820188,0.0950471257531138,0.9662157462701155
liu_wu_full,NMF,test,0.1133632141735156,0.2186083674330396,0.8374247726526373
liu_wu_full,PCA,train,0.06872623590279643,0.14216898423729413,0.9312687158941844
liu_wu_full,MFA,train,0.06872623590279643,0.14216898423729413,0.9312687158941844
liu_wu_full,AE,train,0.09518152957234242,0.14688117519048488,0.9048114789828527
liu_wu_full,NMF,train,0.1694589167333554,0.24790482598945343,0.8305286358656798
liu_wu_full,AE,val,0.005444230528155307,0.049907744634790654,0.976563013335116
liu_wu_full,PCA,val,0.005811587202180703,0.0530216034891286,0.9749815715820779
liu_wu_full,MFA,val,0.005811587202180703,0.0530216034891286,0.9749815715820779
liu_wu_full,NMF,val,0.049674591247910044,0.15526001269515394,0.7861547694132434
